New Year's Day , Monday January 2 2023
Good Friday , Friday April 7 2023
Memorial Day , Monday May 29 2023
Juneteenth , Monday June 19 2023
Independence Day , Monday July 3 2023
Independency Day , Tuesday July 4 2023
Labor Day , Monday September 4 2023
Indigenous Peoples Day , Monday October 9 2023
Thanksgiving Holiday , Thursday November 23 2023
Thanksgiving Holiday , Friday November 24 2023
Christmas Holiday , Monday December 25 2023
Christmas Holiday , Tuesday December 26 2023


Half Day
Summer Hours - Friday May 26 2023
Summer Hours - Friday September 1 2023

15 holidays
